State,Total,White,Black,Hispanic,Asian                                                                                                                                 ,Pacific Islander                                                                                                                    ,American Indian/Alaska Native                                                                                                                    ,Two or more races                                                                                                                    
United States,5.8,4.4,7.0,9.2,2.2,6.8,11.0,4.8
Alabama,6.7,6.2,7.0,12.4,‡,‡,‡,6.6
Alaska,5.3,4.3,‡,3.1,‡,‡,11.8,4.3
Arizona,8.2,5.5,8.7,11.2,2.0,‡,12.7,4.8
Arkansas,6.3,5.2,7.4,9.9,3.6,49.0,5.5,10.3
California,5.1,2.8,6.2,7.5,1.7,3.5,7.5,2.7
Colorado,5.7,3.7,6.2,10.2,3.5,5.7,10.6,3.9
Connecticut,4.0,2.2,4.6,10.1,‡,‡,‡,2.9
Delaware,5.7,5.4,5.7,10.0,‡,‡,‡,2.4
District of Columbia,4.1,‡,6.7,8.1,‡,‡,‡,‡
Florida,6.8,5.5,7.6,8.6,2.1,‡,14.2,5.1
Georgia,6.8,5.9,6.8,12.6,2.9,‡,‡,5.8
Hawaii,4.1,2.7,‡,5.5,3.6,7.7,‡,3.4
Idaho,6.1,5.1,‡,10.1,5.9,‡,14.1,4.5
Illinois,4.9,3.4,7.9,7.4,1.3,‡,‡,4.4
Indiana,7.3,6.9,8.6,10.8,2.8,‡,8.2,7.8
Iowa,4.5,3.7,10.3,10.5,3.4,‡,‡,3.1
Kansas,5.6,4.0,6.6,13.2,3.4,‡,9.0,4.2
Kentucky,6.2,5.8,7.1,13.4,5.1,‡,‡,5.4
Louisiana,8.8,6.6,11.6,12.7,2.6,‡,11.9,8.8
Maine,4.0,3.8,‡,4.8,‡,‡,‡,7.4
Maryland,4.8,3.4,5.5,10.3,1.3,‡,5.7,5.0
Massachusetts,3.8,2.3,5.6,9.7,2.2,‡,‡,3.0
Michigan,5.8,4.9,9.8,7.8,2.5,‡,12.5,5.3
Minnesota,4.1,3.1,5.8,10.4,4.0,‡,19.5,5.6
Mississippi,6.9,5.9,7.1,17.7,‡,‡,11.7,9.2
Missouri,5.9,5.4,7.7,9.4,3.2,‡,9.5,5.3
Montana,6.4,5.6,‡,7.5,‡,‡,15.2,4.3
Nebraska,4.7,3.1,9.7,11.8,5.7,‡,6.5,2.7
Nevada,8.4,6.3,10.0,11.5,2.5,7.0,4.6,5.9
New Hampshire,3.9,3.6,5.2,10.7,‡,‡,‡,6.4
New Jersey,3.8,1.8,5.1,8.1,1.2,‡,‡,2.7
New Mexico,8.9,7.1,3.2,9.8,‡,‡,11.0,8.4
New York,5.3,3.4,7.0,9.8,2.4,‡,6.3,4.8
North Carolina,6.0,4.9,6.1,11.4,3.4,12.6,9.2,6.4
North Dakota,4.0,3.2,‡,6.2,‡,‡,15.2,7.1
Ohio,5.7,5.0,8.1,9.6,1.6,‡,12.7,6.1
Oklahoma,7.8,5.8,11.3,14.1,2.4,10.6,9.3,7.6
Oregon,6.6,5.6,7.5,11.6,1.3,3.4,12.7,4.9
Pennsylvania,5.4,4.9,6.1,10.3,2.4,‡,‡,3.1
Rhode Island,4.5,3.3,3.5,8.4,1.7,‡,‡,8.6
South Carolina,6.3,5.3,7.5,9.9,3.1,‡,8.3,6.8
South Dakota,6.6,4.2,6.3,9.4,7.3,‡,21.9,9.6
Tennessee,5.2,4.2,6.7,12.1,3.0,‡,7.6,5.2
Texas,6.7,4.3,5.1,9.4,2.4,8.6,9.0,4.5
Utah,5.2,4.0,5.8,10.3,3.9,6.0,13.6,4.1
Vermont,4.0,4.1,‡,‡,‡,‡,‡,‡
Virginia,3.6,2.5,4.5,8.9,2.0,‡,7.7,3.2
Washington,6.4,5.0,6.2,12.7,2.1,9.9,13.2,6.3
West Virginia,5.9,6.0,7.0,5.0,‡,‡,‡,4.5
Wisconsin,4.5,3.3,10.5,9.6,2.9,‡,2.8,5.9
Wyoming,4.8,4.2,‡,7.5,‡,‡,13.0,3.3
