State,Median annual income (USD)
Alabama,27928
Alaska,36787
Arizona,30694
Arkansas,26577
California,36955
Colorado,38226
Connecticut,44496
Delaware,35450
District of Columbia,56147
Florida,31619
Georgia,31067
Hawaii,35567
Idaho,27970
Illinois,36038
Indiana,29777
Iowa,32176
Kansas,31814
Kentucky,28178
Louisiana,27923
Maine,32637
Maryland,42122
Massachusetts,43761
Michigan,31713
Minnesota,37625
Mississippi,24369
Missouri,30810
Montana,31151
Nebraska,32302
Nevada,31557
New Hampshire,40003
New Jersey,42745
New Mexico,27230
New York,39326
North Carolina,30783
North Dakota,36062
Ohio,31552
Oklahoma,28422
Oregon,33763
Pennsylvania,34352
Rhode Island,36121
South Carolina,29426
South Dakota,30773
Tennessee,29859
Texas,31277
Utah,29775
Vermont,34577
Virginia,39278
Washington,38915
West Virginia,26480
Wisconsin,33375
Wyoming,33366
