,State,Total,High school dropout rates,dem_this_margin,Median annual income (USD)
0,Alabama,5024279,6.7,-25.5,27928
1,Alaska,733391,5.3,-10.1,36787
2,Arizona,7151502,8.2,0.3,30694
3,Arkansas,3011524,6.3,-27.6,26577
4,California,39538223,5.1,29.2,36955
5,Colorado,5773714,5.7,13.5,38226
6,Connecticut,3605944,4.0,20.1,44496
7,Delaware,989948,5.7,19.0,35450
8,District of Columbia,689545,4.1,86.8,56147
9,Florida,21538187,6.8,-3.4,31619
10,Georgia,10711908,6.8,0.2,31067
11,Hawaii,1455271,4.1,29.5,35567
12,Idaho,1839106,6.1,-30.8,27970
13,Illinois,12812508,4.9,17.0,36038
14,Indiana,6785528,7.3,-16.1,29777
15,Iowa,3190369,4.5,-8.2,32176
16,Kansas,2937880,5.6,-14.7,31814
17,Kentucky,4505836,6.2,-25.9,28178
18,Louisiana,4657757,8.8,-18.6,27923
19,Maine,1362359,4.0,9.1,32637
20,Maryland,6177224,4.8,33.2,42122
21,Massachusetts,7029917,3.8,33.5,43761
22,Michigan,10077331,5.8,2.8,31713
23,Minnesota,5706494,4.1,7.1,37625
24,Mississippi,2961279,6.9,-16.5,24369
25,Missouri,6154913,5.9,-15.4,30810
26,Montana,1084225,6.4,-16.4,31151
27,Nebraska,1961504,4.7,-19.2,32302
28,Nevada,3104614,8.4,2.4,31557
29,New Hampshire,1377529,3.9,7.4,40003
30,New Jersey,9288994,3.8,15.9,42745
31,New Mexico,2117522,8.9,10.8,27230
32,New York,20201249,5.3,23.1,39326
33,North Carolina,10439388,6.0,-1.3,30783
34,North Dakota,779094,4.0,-33.4,36062
35,Ohio,11799448,5.7,-8.0,31552
36,Oklahoma,3959353,7.8,-33.1,28422
37,Oregon,4237256,6.6,16.1,33763
38,Pennsylvania,13002700,5.4,1.2,34352
39,Rhode Island,1097379,4.5,20.8,36121
40,South Carolina,5118425,6.3,-11.7,29426
41,South Dakota,886667,6.6,-26.2,30773
42,Tennessee,6910840,5.2,-23.2,29859
43,Texas,29145505,6.7,-5.6,31277
44,Utah,3271616,5.2,-20.5,29775
45,Vermont,643077,4.0,35.4,34577
46,Virginia,8631393,3.6,10.1,39278
47,Washington,7705281,6.4,19.2,38915
48,West Virginia,1793716,5.9,-38.9,26480
49,Wisconsin,5893718,4.5,0.6,33375
50,Wyoming,576851,4.8,-43.4,33366
